to_annotate,annotate,solution_adj,solution_closed_class,solution_nouns,solution_numbers,solution_proper_nouns,solution_verbs
"Greenhouse gas emissions in Germany have again missed targets set by the Climate Protection Act and barely fell at all in 2025.Emissions decreased by just 0.1% last year compared to the previous year, according to data from the German Environment Agency.The country’s emissions in 2025 were equivalent to 649m tonnes of CO2, worse than those forecast by the expert group Agora Energiewende, which anticipated a 1.5% drop year-on-year.Everything is a political weapon since Trump’s re-election, says Germany’s ex-economy ministerRead moreIn 2024, a more significant drop of 3.4% was recorded.","Greenhouse gas emissions in Germany have again missed targets 6666 by the Climate Protection Act and barely fell at all in 2025. Emissions decreased by just 0.1% last year compared 2222 the previous year, according to 3333 from the German Environment Agency. The country’s emissions in 2025 were equivalent to 649m tonnes of CO2, worse than those forecast by the expert group Agora Energiewende, which anticipated a 1.5% drop year-on-year. Everything is a political weapon since 5555’s re-election, says Germany’s ex-economy ministerRead moreIn 2024, a more 1111 drop of 4444% was recorded.",significant,to,data,3.4,Trump,set
"Australian federal and state government subsidies that encourage fossil fuel use and help drive the climate crisis will reach $16.3bn this year after leaping by nearly 10%, according to a new analysis.It found federal and state governments will pay or forgo the equivalent of $31,020 each minute in 2025-26 to subsidise companies producing and using coal, gas and especially oil, mostly in the form of diesel.","1111 federal and state government subsidies that encourage fossil fuel use and help drive the climate crisis will reach $16.3bn this year after leaping by nearly 10%, according 2222 a new analysis. It found federal and state governments will pay or forgo the equivalent of $4444 each 3333 in 2025-26 to subsidise companies 6666 and using coal, gas and especially oil, mostly in the form of diesel.",Australian,to,minute,"31,020",,producing
"Nasa has said the long-delayed launch of Artemis II, the first crewed flyby mission to the moon in more than 50 years, could happen as soon as 1 April.“We are on track for a launch as early as April 1, and we are working toward that date,” Lori Glaze, a senior Nasa official, told a press conference on Thursday. Technical difficulties delayed a launch originally expected in February.","Nasa has said the long-delayed launch of Artemis II, the 1111 crewed flyby mission to the moon in more than 50 years, could happen as soon as 4444 5555. “We are 2222 track for a launch as early as April 1, and we are 6666 toward that date,” Lori Glaze, a senior Nasa official, told a 3333 conference on Thursday. Technical difficulties delayed a launch originally expected in February.",first,on,press,1,April,working
"A sacred artefact looted by French colonial authorities more than a century ago has been returned to Côte d’Ivoire in one of the most significant cultural restitutions to a former French colony in years.The Djidji Ayôkwé, a talking drum confiscated in 1916 by French administrators, landed at 8.45am on Friday at the airport in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being removed from the Quai Branly – Jacques Chirac Museum.","A sacred artefact looted by French colonial authorities more than a century ago has been returned 2222 Côte d’Ivoire in one of the most significant 1111 restitutions to a former French colony in years. The Djidji Ayôkwé, a talking drum confiscated in 4444 by French administrators, landed at 8.45am on Friday at the 3333 in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being 6666 from the 5555 5555 – Jacques Chirac Museum.",cultural,to,airport,1916,Quai Branly,removed
"The government of Eswatini announced on Thursday it received four more “third country” deportees from the United States, as part of the Trump administration’s multimillion-dollar deal with the small African nation.Now a total of 19 deportees from the US have been sent to Eswatini even as they hail from other countries, amid the Trump administration’s continued anti-immigrant crackdown and changes to immigration policy.A system for monitoring people moved around by Immigration and Customs Enforcement (ICE), in the form of a flight tracker, run by the advocacy group Human Rights First, tracked the deportation flight to Eswatini","The government of Eswatini announced on Thursday 2222 received 4444 more “third country” deportees from the United States, as part of the Trump administration’s multimillion-3333 deal with the small 1111 nation. Now a total of 19 deportees from the US have been sent to Eswatini even as they hail from other countries, amid the Trump administration’s continued anti-immigrant crackdown and changes to immigration policy. A system for monitoring people moved around by Immigration and Customs Enforcement (5555), in the form of a flight tracker, run by the advocacy group Human Rights First, 6666 the deportation flight to Eswatini",African,it,dollar,four,ICE,tracked
"Scrunched between luxury apartment buildings and a lush gated community, the neighborhood of Santa Lucía Reacomodo in Mexico City is a working-class pocket of real estate. Electrical wires tangle above cinder-block houses, stray cats slink down narrow streets, debris piles up on the pavement.María del Socorro Corona, 79, arrived here decades ago, back when it was just a cactus-covered hillside. The two-bedroom turquoise house she built with her now-deceased husband is crammed with bags of clothes and knick-knacks she sells at a weekly market.","Scrunched between luxury apartment buildings and a lush gated community, the neighborhood of 5555 5555 5555 in Mexico City is a 1111-class pocket of real estate. Electrical wires tangle above cinder-block 3333, stray cats slink down narrow streets, debris piles up on the pavement. María del Socorro Corona, 4444, arrived here decades ago, back when it was just a cactus-covered hillside. The two-bedroom turquoise house she 6666 with her now-deceased husband is crammed 2222 bags of clothes and knick-knacks she sells at a weekly market.",working,with,houses,79,Santa Lucía Reacomodo,built
"At least 17 people, most of them schoolgirls, were killed on Wednesday when an explosive-laden drone blamed on Sudan’s paramilitary Rapid Support Forces struck a secondary school and a health care centre.At least 10 people were wounded in the strike in the village of Shukeiri in the White Nile province, according to Dr Musa al-Majeri, director of Douiem hospital, the nearest major medical facility to the village.Al-Majeri said three girls suffered serious injuries; two of them underwent surgeries at the hospital while the third was evacuated to the capital, Khartoum.","At least 17 people, most of them schoolgirls, were killed on Wednesday when an 1111-laden drone blamed 2222 Sudan’s paramilitary Rapid Support Forces struck a secondary school and a health care centre. At least 10 people were 6666 in the strike in the village of Shukeiri in the White Nile province, according to Dr Musa al-Majeri, 3333 of 5555 hospital, the nearest major medical facility to the village. Al-Majeri said 4444 girls suffered serious injuries; two of them underwent surgeries at the hospital while the third was evacuated to the capital, Khartoum.",explosive,on,director,three,Douiem,wounded
"Sebastián Marset, an alleged Uruguayan drug trafficker and one of South America’s most wanted criminals, has been arrested in Bolivia.Marset, 34, is accused of trafficking tonnes of cocaine from South America to Europe, and also of having ordered the murder of a Paraguayan prosecutor who was shot dead as he honeymooned on a Colombian beach in 2022.Marset was also wanted by Washington for allegedly laundering money through US banks, and Bolivia’s interior minister, Marco Antonio Oviedo, said on Friday that he was already being extradited to the US. US banks, and Bolivia’s interior minister, Marco Antonio Oviedo, said on Friday that he was already being extradited to the US.","Sebastián Marset, an alleged Uruguayan drug trafficker and 4444 of South America’s most wanted criminals, has been 6666 in Bolivia. Marset, 34, is accused of trafficking 3333 of cocaine from South America to Europe, and also of having ordered the murder of a 1111 prosecutor who was shot dead as he honeymooned on a Colombian beach 2222 2022. Marset was also wanted by Washington for allegedly laundering money through US banks, and Bolivia’s interior minister, Marco Antonio Oviedo, said on Friday that he was already being extradited to the 5555. US banks, and Bolivia’s interior minister, Marco Antonio Oviedo, said on Friday that he was already being extradited to the US.",Paraguayan,in,tonnes,one,US,arrested
"King Charles has expressed concern over a simmering separatist movement in western Canada, according to Indigenous leaders who met the head of state at Buckingham Palace.Members of the Confederacy of Treaty Six First Nations travelled to London from their territories in the province of Alberta to raise the alarm over the secessionist movement, arguing that it ignores key agreements signed between First Nations and the crown nearly 150 years ago.Joey Pete, Sunchild First Nation’s grand chief, said the delegation “made [Charles] aware of the separatism issue in Alberta and the threat to the Treaty it represents”, adding in a statement that the monarch appeared “concern[d] and committed to learning more”.","King Charles has expressed concern over a simmering separatist movement in 1111 Canada, according to Indigenous leaders who met the head of state at Buckingham Palace. Members of the Confederacy of Treaty Six First Nations travelled to London from their territories 2222 the province of Alberta to raise the alarm over the secessionist movement, arguing that it ignores key agreements signed between First Nations and the crown nearly 4444 years ago. Joey Pete, 5555 5555 5555’s grand chief, said the delegation “made [Charles] aware of the separatism issue in Alberta and the threat to the Treaty it 6666”, adding in a statement that the monarch appeared “3333] and committed to learning more”.",western,in,concern[d,150,Sunchild First Nation,represents
"Two people have died in Canada after donating plasma at a chain of clinics that has been under scrutiny by federal inspectors for failing to keep accurate records, screen donors or maintain its machines.While experts say the deaths are exceedingly rare, critics say Canada’s embrace of private companies to handle blood products reflects a “slow collapse of a system that has been the envy of the world”.Health Canada, the federal agency that regulates plasma clinics, said it had received reports from the clinics regarding “fatal adverse reactions” after plasma donations in October 2025 and January 202","Two people have died in Canada after donating plasma at a chain of clinics that has been under scrutiny by federal inspectors for failing to keep accurate records, screen 3333 or maintain 2222 machines. While experts say the deaths are exceedingly rare, critics say Canada’s embrace of private companies to handle blood products reflects a “slow collapse of a system that has been the envy of the world”. Health Canada, the federal agency that regulates plasma clinics, said it had received reports from the clinics 6666 “1111 adverse reactions” after plasma donations in 5555 4444 and January 202",fatal,its,donors,2025,October,regarding
