to_annotate,annotate,solution_adj,solution_closed_class,solution_nouns,solution_numbers,solution_proper_nouns,solution_verbs,ID
"Les émissions de gaz à effet de serre en Allemagne ont de nouveau manqué les objectifs fixés par la Loi sur la protection du climat et n'ont pratiquement pas diminué en 2025. Les émissions n'ont baissé que de 0,1 % l'année dernière par rapport à l'année précédente, selon les données de l'Agence allemande pour l'environnement. Les émissions du pays en 2025 équivalaient à 649 millions de tonnes de CO2, soit davantage que les prévisions du groupe d'experts Agora Energiewende, qui anticipait une baisse de 1,5 % sur un an. Tout est devenu une arme politique depuis la réélection de Trump, déclare l'ancien ministre allemand de l'Économie. En 2024, une baisse plus importante de 3,4 % avait été enregistrée.","Les émissions de gaz à effet de serre en Allemagne ont de nouveau manqué les objectifs 6666 par la Loi sur la protection du climat et n'ont pratiquement pas diminué en 2025. Les émissions n'ont baissé que de 0,1 % l'année dernière par rapport 2222 l'année précédente, selon les 3333 de l'Agence allemande pour l'environnement. Les émissions du pays en 2025 équivalaient à 649 millions de tonnes de CO2, soit davantage que les prévisions du groupe d'experts Agora Energiewende, qui anticipait une baisse de 1,5 % sur un an. Tout est devenu une arme politique depuis la réélection de 5555, déclare l'ancien ministre allemand de l'Économie. En 2024, une baisse plus 1111 de 4444 % avait été enregistrée.",importante,à,données,3.4,Trump,fixés,1
"Les subventions accordées par les gouvernements fédéral et des États australiens qui encouragent l'utilisation des combustibles fossiles et aggravent la crise climatique atteindront 16,3 milliards de dollars cette année après avoir augmenté de près de 10 %, selon une nouvelle analyse. Celle-ci conclut que les gouvernements fédéral et des États paieront ou renonceront à l'équivalent de 31 020 dollars par minute en 2025-2026 pour subventionner les entreprises produisant et utilisant du charbon, du gaz et surtout du pétrole, principalement sous forme de diesel.","Les subventions 1111 accordées par les gouvernements fédéral et des États qui encouragent l'utilisation des combustibles fossiles et aggravent la crise climatique atteindront 16,3 milliards de dollars cette année après avoir augmenté de près de 10 %, selon 2222 une nouvelle analyse. Celle-ci conclut que les gouvernements fédéral et des États paieront ou renonceront à l'équivalent de 4444 dollars par 3333 en 2025-2026 pour subventionner les entreprises 6666 et utilisant du charbon, du gaz et surtout du pétrole, principalement sous forme de diesel.",australiennes,à,minute,31020,,produisant,2
"La Nasa a déclaré que le lancement longtemps retardé d'Artemis II, la première mission habitée de survol de la Lune depuis plus de 50 ans, pourrait avoir lieu dès le 1er avril. « Nous sommes en bonne voie pour un lancement dès le 1er avril et nous travaillons à cette échéance », a déclaré Lori Glaze, haute responsable de la Nasa, lors d'une conférence de presse jeudi. Des difficultés techniques ont retardé un lancement initialement prévu en février.","La Nasa a déclaré que le lancement longtemps retardé d'Artemis II, la 1111 mission habitée de survol de la Lune depuis plus de 50 ans, pourrait avoir lieu dès le 4444 5555. « Nous sommes 2222 bonne voie pour un lancement dès le 1er avril et nous 6666 à cette échéance », a déclaré Lori Glaze, haute responsable de la Nasa, lors d'une conférence de 3333 jeudi. Des difficultés techniques ont retardé un lancement initialement prévu en février.",première,en,presse,1,Avril,travaillons,3
"Un artefact sacré pillé par les autorités coloniales françaises il y a plus d'un siècle a été restitué à la Côte d'Ivoire dans l'une des plus importantes restitutions culturelles à une ancienne colonie française depuis des années. Le Djidji Ayôkwé, un tambour parlant confisqué en 1916 par les administrateurs français, a atterri à 8 h 45 vendredi à l'aéroport de Port-Bouët, en périphérie de la capitale économique Abidjan. Il a été remis aux autorités ivoiriennes à Paris plus tôt ce mois-ci après avoir été retiré du musée du Quai Branly – Jacques Chirac.","Un artefact sacré pillé par les autorités coloniales françaises il y a plus d'un siècle a été restitué 2222 la Côte d'Ivoire dans l'une des plus importantes restitutions 1111 à une ancienne colonie française depuis des années. Le Djidji Ayôkwé, un tambour parlant confisqué en 4444 par les administrateurs français, a atterri à 8 h 45 vendredi à l'3333 de Port-Bouët, en périphérie de la capitale économique Abidjan. Il a été remis aux autorités ivoiriennes à Paris plus tôt ce mois-ci après avoir été 6666 du 5555 5555 – musée Jacques Chirac.",culturelles,à,aéroport,1916,Quai Branly,retiré,4
"Le gouvernement de l'Eswatini a annoncé jeudi avoir reçu quatre autres expulsés de « pays tiers » en provenance des États-Unis, dans le cadre de l'accord de plusieurs millions de dollars conclu par l'administration Trump avec ce petit pays africain. Au total, 19 expulsés des États-Unis ont désormais été envoyés en Eswatini bien qu'ils soient originaires d'autres pays, dans le contexte du durcissement continu de la politique anti-immigration de l'administration Trump. Un système de suivi des personnes déplacées par l'Immigration and Customs Enforcement (ICE), sous la forme d'un suivi de vol géré par Human Rights First, a suivi le vol d'expulsion vers l'Eswatini.","Le gouvernement de l'Eswatini a annoncé jeudi qu'2222 avait reçu 4444 autres expulsés de « pays tiers » en provenance des États-Unis, dans le cadre de l'accord de plusieurs millions de 3333 conclu par l'administration Trump avec ce petit pays 1111. Au total, 19 expulsés des États-Unis ont désormais été envoyés en Eswatini bien qu'ils soient originaires d'autres pays. Un système de suivi des personnes déplacées par l'Immigration and Customs Enforcement (5555) a 6666 le vol d'expulsion vers l'Eswatini.",africain,il,dollars,quatre,ICE,suivi,5
"Coincé entre des immeubles de luxe et une communauté fermée verdoyante, le quartier de Santa Lucía Reacomodo à Mexico est une enclave immobilière ouvrière. Des câbles électriques s'entremêlent au-dessus des maisons en parpaings, des chats errants se faufilent dans les rues étroites et des débris s'accumulent sur les trottoirs. María del Socorro Corona, 79 ans, est arrivée ici il y a plusieurs décennies, lorsqu'il ne s'agissait encore que d'une colline couverte de cactus. La maison turquoise de deux chambres qu'elle a construite avec son défunt mari est remplie de sacs de vêtements et de bibelots qu'elle vend sur un marché hebdomadaire.","Coincé entre des immeubles de luxe et une communauté fermée verdoyante, le quartier de 5555 5555 5555 à Mexico est une enclave immobilière de classe 1111. Des câbles électriques s'entremêlent au-dessus des 3333 en parpaings, des chats errants se faufilent dans les rues étroites. María del Socorro Corona, 4444 ans, est arrivée ici il y a plusieurs décennies. La maison turquoise de deux chambres qu'elle a 6666 avec son défunt mari est remplie 2222 sacs de vêtements et de bibelots qu'elle vend sur un marché hebdomadaire.",ouvrière,de,maisons,79,Santa Lucía Reacomodo,construite,6
"Au moins 17 personnes, pour la plupart des écolières, ont été tuées mercredi lorsqu'un drone chargé d'explosifs attribué aux Forces de soutien rapide du Soudan a frappé une école secondaire et un centre de santé. Au moins 10 personnes ont été blessées lors de la frappe dans le village de Shukeiri, dans la province du Nil Blanc, selon le Dr Musa al-Majeri, directeur de l'hôpital de Douiem, le principal établissement médical le plus proche. Al-Majeri a déclaré que trois filles avaient subi de graves blessures.","Au moins 17 personnes, pour la plupart des écolières, ont été tuées mercredi lorsqu'un drone 1111 d'explosifs attribué 2222 aux Forces de soutien rapide du Soudan a frappé une école secondaire et un centre de santé. Au moins 10 personnes ont été 6666 lors de la frappe dans le village de Shukeiri, dans la province du Nil Blanc, selon le Dr Musa al-Majeri, 3333 de l'hôpital 5555. Al-Majeri a déclaré que 4444 filles avaient subi de graves blessures.",chargé,aux,directeur,trois,Douiem,blessées,7
"Sebastián Marset, trafiquant de drogue uruguayen présumé et l'un des criminels les plus recherchés d'Amérique du Sud, a été arrêté en Bolivie. Marset, 34 ans, est accusé d'avoir fait passer des tonnes de cocaïne d'Amérique du Sud vers l'Europe et d'avoir commandité le meurtre d'un procureur paraguayen tué par balles alors qu'il passait sa lune de miel sur une plage colombienne en 2022. Marset était également recherché par Washington pour blanchiment présumé d'argent via des banques américaines.","Sebastián Marset, trafiquant de drogue uruguayen présumé et 4444 des criminels les plus recherchés d'Amérique du Sud, a été 6666 en Bolivie. Marset, 34 ans, est accusé d'avoir fait passer 3333 de cocaïne d'Amérique du Sud vers l'Europe et d'avoir commandité le meurtre d'un procureur 1111 tué par balles alors qu'il passait sa lune de miel sur une plage colombienne 2222 2022. Marset était également recherché par Washington pour blanchiment présumé d'argent via des banques 5555.",paraguayen,en,tonnes,un,US,arrêté,8
"Le roi Charles a exprimé son inquiétude face à un mouvement séparatiste grandissant dans l'ouest du Canada, selon des dirigeants autochtones qui ont rencontré le chef de l'État au palais de Buckingham. Des membres de la Confédération des Premières Nations du Traité no 6 se sont rendus à Londres depuis leurs territoires de l'Alberta pour tirer la sonnette d'alarme concernant ce mouvement sécessionniste. Joey Pete, grand chef de Sunchild First Nation, a déclaré que la délégation avait sensibilisé Charles à cette question.","Le roi Charles a exprimé son inquiétude face à un mouvement séparatiste grandissant dans le 1111 du Canada. Des membres de la Confédération des Premières Nations du Traité no 6 se sont rendus à Londres depuis leurs territoires 2222 la province de l'Alberta. Joey Pete, chef de 5555 5555 5555, a déclaré que la délégation avait sensibilisé Charles à cette question et à la menace que le Traité 6666, ajoutant dans un communiqué que le monarque semblait « 3333 » et désireux d'en apprendre davantage.",ouest,dans,préoccupé,150,Sunchild First Nation,représente,9
"Deux personnes sont décédées au Canada après avoir donné leur plasma dans une chaîne de cliniques qui faisait l'objet d'un examen par les inspecteurs fédéraux pour ne pas avoir tenu des registres précis, contrôlé les donneurs ou entretenu correctement ses machines. Bien que les experts affirment que ces décès sont extrêmement rares, les critiques estiment que le recours du Canada à des entreprises privées pour gérer les produits sanguins reflète un lent effondrement d'un système autrefois envié dans le monde entier. Santé Canada a indiqué avoir reçu des signalements concernant des réactions indésirables mortelles après des dons de plasma en octobre 2025 et en janvier 2026.","Deux personnes sont décédées au Canada après avoir donné leur plasma dans une chaîne de cliniques qui faisait l'objet d'un examen par les inspecteurs fédéraux pour ne pas avoir tenu des registres précis, contrôlé les 3333 ou entretenu correctement 2222 machines. Bien que les experts affirment que ces décès sont extrêmement rares, les critiques estiment que le recours du Canada à des entreprises privées pour gérer les produits sanguins reflète un lent effondrement d'un système autrefois envié dans le monde entier. Santé Canada a indiqué avoir reçu des signalements 6666 des « réactions indésirables 1111 » après des dons de plasma en 5555 4444 et en janvier 2026.",mortelles,ses,donneurs,2025,Octobre,concernant,10
