id,quiz_session_id,quiz_id,article_id,user_id,score,word,pos_code,pos_label,detected_pos_code,detected_pos_label,is_number,normalized_number,guess_index,created_at,article_title
1,128,7ca06908-1bd4-4410-a6de-6fa6cbbc8864,72197e86-e063-4c44-99eb-e2499767257d,1,0,not,2222,FUNCTION,2222,FUNCTION,0,,0,1773781111941,"Greenhouse gas emissions in Germany have again missed targets set by the Climate Protection Act and barely fell at all in 2025.Emissions decreased by just 0.1% last year compared to the previous year, according to data from the German Environment Agency.The country’s emissions in 2025 were equivalent to 649m tonnes of CO2, worse than those forecast by the expert group Agora Energiewende, which anticipated a 1.5% drop year-on-year.Everything is a political weapon since Trump’s re-election, says G"
2,127,f71464ff-4f28-4ff0-a124-8048ce77f6c7,10163d8e-43af-4f76-a34b-41b3d2f47f3b,1,0,since,2222,FUNCTION,2222,FUNCTION,0,,0,1773781096696,"Australian federal and state government subsidies that encourage fossil fuel use and help drive the climate crisis will reach $16.3bn this year after leaping by nearly 10%, according to a new analysis.It found federal and state governments will pay or forgo the equivalent of $31,020 each minute in 2025-26 to subsidise companies producing and using coal, gas and especially oil, mostly in the form of diesel."
3,127,f71464ff-4f28-4ff0-a124-8048ce77f6c7,10163d8e-43af-4f76-a34b-41b3d2f47f3b,1,0,after,2222,FUNCTION,2222,FUNCTION,0,,1,1773781096696,"Australian federal and state government subsidies that encourage fossil fuel use and help drive the climate crisis will reach $16.3bn this year after leaping by nearly 10%, according to a new analysis.It found federal and state governments will pay or forgo the equivalent of $31,020 each minute in 2025-26 to subsidise companies producing and using coal, gas and especially oil, mostly in the form of diesel."
4,126,55a16b5a-a157-42cd-b72f-4d517108b3f8,fad59d89-171d-4854-9489-a95c0f326ccc,1,0,by,2222,FUNCTION,2222,FUNCTION,0,,0,1773781062418,"Nasa has said the long-delayed launch of Artemis II, the first crewed flyby mission to the moon in more than 50 years, could happen as soon as 1 April.“We are on track for a launch as early as April 1, and we are working toward that date,” Lori Glaze, a senior Nasa official, told a press conference on Thursday. Technical difficulties delayed a launch originally expected in February."
5,126,55a16b5a-a157-42cd-b72f-4d517108b3f8,fad59d89-171d-4854-9489-a95c0f326ccc,1,0,up,2222,FUNCTION,2222,FUNCTION,0,,1,1773781062418,"Nasa has said the long-delayed launch of Artemis II, the first crewed flyby mission to the moon in more than 50 years, could happen as soon as 1 April.“We are on track for a launch as early as April 1, and we are working toward that date,” Lori Glaze, a senior Nasa official, told a press conference on Thursday. Technical difficulties delayed a launch originally expected in February."
6,126,55a16b5a-a157-42cd-b72f-4d517108b3f8,fad59d89-171d-4854-9489-a95c0f326ccc,1,0,on,2222,FUNCTION,2222,FUNCTION,0,,2,1773781062418,"Nasa has said the long-delayed launch of Artemis II, the first crewed flyby mission to the moon in more than 50 years, could happen as soon as 1 April.“We are on track for a launch as early as April 1, and we are working toward that date,” Lori Glaze, a senior Nasa official, told a press conference on Thursday. Technical difficulties delayed a launch originally expected in February."
7,123,002fda55-233c-43c8-8e26-44f4984bafd7,6c4c0f35-2d4f-4f11-ae8b-1e0cec1d96c3,1,200,2,4444,NUM,4444,NUM,1,2.00,0,1773571710307,"A sacred artefact looted by French colonial authorities more than a century ago has been returned to Côte d’Ivoire in one of the most significant cultural restitutions to a former French colony in years.The Djidji Ayôkwé, a talking drum confiscated in 1916 by French administrators, landed at 8.45am on Friday at the airport in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being removed from the Quai Branly –"
8,123,002fda55-233c-43c8-8e26-44f4984bafd7,6c4c0f35-2d4f-4f11-ae8b-1e0cec1d96c3,1,200,increase,6666,VERB,6666,VERB,0,,1,1773571710307,"A sacred artefact looted by French colonial authorities more than a century ago has been returned to Côte d’Ivoire in one of the most significant cultural restitutions to a former French colony in years.The Djidji Ayôkwé, a talking drum confiscated in 1916 by French administrators, landed at 8.45am on Friday at the airport in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being removed from the Quai Branly –"
9,123,002fda55-233c-43c8-8e26-44f4984bafd7,6c4c0f35-2d4f-4f11-ae8b-1e0cec1d96c3,1,200,withdraw,6666,VERB,6666,VERB,0,,2,1773571710307,"A sacred artefact looted by French colonial authorities more than a century ago has been returned to Côte d’Ivoire in one of the most significant cultural restitutions to a former French colony in years.The Djidji Ayôkwé, a talking drum confiscated in 1916 by French administrators, landed at 8.45am on Friday at the airport in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being removed from the Quai Branly –"
10,123,002fda55-233c-43c8-8e26-44f4984bafd7,6c4c0f35-2d4f-4f11-ae8b-1e0cec1d96c3,1,200,decrease,6666,VERB,6666,VERB,0,,3,1773571710307,"A sacred artefact looted by French colonial authorities more than a century ago has been returned to Côte d’Ivoire in one of the most significant cultural restitutions to a former French colony in years.The Djidji Ayôkwé, a talking drum confiscated in 1916 by French administrators, landed at 8.45am on Friday at the airport in Port Bouët on the outskirts of the economic capital, Abidjan. It was handed over to Ivorian officials in Paris earlier this month after being removed from the Quai Branly –"
